Możliwa droga przenikania,Droga: Części roślin
"Krótki opis, dlaczego jest rozważana jako droga przenikania","*H. zea* jest szerokim polifagiem i istnieje teoretycznie możliwość przedostania się form preimaignalnych (jaja, larwy, poczwarki) z częściami roślinami i produktami roślinnymi importowanymi z Ameryki Południowej i Północnej."
"Czy droga przenikania jest zakazana na obszarze PRA?",Nie
"Czy agrofag był już przechwycony tą drogą przenikania?",Nie
"Jakie stadium jest najbardziej prawdopodobnie związane z tą drogą przenikania?","jaja, poczwarki, larwy"
"Jakie są ważne czynniki związane z tą drogą przenikania?","Transport żywych roślin w możliwie krótkim czasie"
"Czy agrofag może przeżyć transport i składowanie w tej drodze przenikania?",Tak
"Czy agrofag może zostać przeniesiony z tej drogi przenikania na odpowiednie siedlisko?",Tak
"Czy wielkość przemieszczania tą drogą przenikania sprzyja wejściu agrofaga?",Nie
"Czy częstotliwość przemieszczania tą drogą przenikania sprzyja wejściu agrofaga?",Nie
"Ocena prawdopodobieństwa wejścia",Średnie
"Ocena niepewności",Wysoka
